CVE_ENT,NOM_ENT,NOM_ABR,NOM_ABR
01,Aguascalientes,Ags.,AG
02,Baja California,BC,BC
03,Baja California Sur,BCS,BS
04,Campeche,Camp.,CP
05,Coahuila de Zaragoza,Coah.,CS
06,Colima,Col.,CH
07,Chiapas,Chis.,CO
08,Chihuahua,Chih.,CL
09,Ciudad de México,CDMX,CM
10,Durango,Dgo.,DG
11,Guanajuato,Gto.,GT
12,Guerrero,Gro.,GR
13,Hidalgo,Hgo.,HG
14,Jalisco,Jal.,JL
15,México,Mex.,EM
16,Michoacán de Ocampo,Mich.,MI
17,Morelos,Mor.,MO
18,Nayarit,Nay.,NY
19,Nuevo León,NL,NL
20,Oaxaca,Oax.,OX
21,Puebla,Pue.,PU
22,Querétaro,Qro.,QU
23,Quintana Roo,Q. Roo,QE
24,San Luis Potosí,SLP,SL
25,Sinaloa,Sin.,SI
26,Sonora,Son.,SO
27,Tabasco,Tab.,TB
28,Tamaulipas,Tamps.,TM
29,Tlaxcala,Tlax.,TX
30,Veracruz de Ignacio de la Llave,Ver.,VZ
31,Yucatán,Yuc.,YU
32,Zacatecas,Zac.,ZT
33,Otro país,OP,OP
34,No especificado,No Esp.,NE
