MAPA,CVE_ENT,NOM_ENT,NOM_ABR,POB_TOTAL,POB_MASCULINA,POB_FEMENINA,TOTAL DE VIVIENDAS HABITADAS
"01","01","Aguascalientes","Ags.","1425607","696683","728924","386671"
"02","02","Baja California","BC","3769020","1900589","1868431","1149563"
"03","03","Baja California Sur","BCS","798447","405879","392568","240660"
"04","04","Campeche","Camp.","928363","456939","471424","260824"
"05","05","Coahuila de Zaragoza","Coah.","3146771","1563669","1583102","901249"
"06","06","Colima","Col.","731391","360622","370769","227050"
"07","07","Chiapas","Chis.","5543828","2705947","2837881","1351630"
"08","08","Chihuahua","Chih.","3741869","1853822","1888047","1146915"
"09","09","Ciudad de México","CDMX","9209944","4404927","4805017","2757433"
"10","10","Durango","Dgo.","1832650","904866","927784","493989"
"11","11","Guanajuato","Gto.","6166934","2996454","3170480","1587234"
"12","12","Guerrero","Gro.","3540685","1700612","1840073","942509"
"13","13","Hidalgo","Hgo.","3082841","1481379","1601462","857462"
"14","14","Jalisco","Jal.","8348151","4098455","4249696","2332218"
"15","15","México","Mex.","16992418","8251295","8741123","4569533"
"16","16","Michoacán de Ocampo","Mich.","4748846","2306341","2442505","1285469"
"17","17","Morelos","Mor.","1971520","950847","1020673","560941"
"18","18","Nayarit","Nay.","1235456","612278","623178","361596"
"19","19","Nuevo León","NL","5784442","2890950","2893492","1655690"
"20","20","Oaxaca","Oax.","4132148","1974843","2157305","1126544"
"21","21","Puebla","Pue.","6583278","3160115","3423163","1713865"
"22","22","Querétaro","Qro.","2368467","1156820","1211647","668771"
"23","23","Quintana Roo","Q. Roo","1857985","936779","921206","575635"
"24","24","San Luis Potosí","SLP","2822255","1372451","1449804","775016"
"25","25","Sinaloa","Sin.","3026943","1494815","1532128","855271"
"26","26","Sonora","Son.","2944840","1472197","1472643","876826"
"27","27","Tabasco","Tab.","2402598","1173671","1228927","669414"
"28","28","Tamaulipas","Tamps.","3527735","1736140","1791595","1069380"
"29","29","Tlaxcala","Tlax.","1342977","649894","693083","341656"
"30","30","Veracruz de Ignacio de la Llave","Ver.","8062579","3871774","4190805","2391262"
"31","31","Yucatán","Yuc.","2320898","1140279","1180619","658351"
"32","32","Zacatecas","Zac.","1622138","791058","831080","442835"

